2099
aller  --- du
dira  --- vaut
vaut  --- peine
faut  --- dire
dire  --- que
se  --- retrouvent
a  --- Szymanoski
a  --- Rozycki
a  --- Fitelberg
abandonner  --- composition
a  --- Szeluto
a  --- jalousies
a  --- inimitiés
ont  --- plus
cimenter  --- groupe
a  --- mousquetaires
veulent  --- découdre
fondent  --- société
assure  --- rayonnement
voit  --- marque
l  --- entendre
raconte  --- que
jouaient  --- Strauss
que  --- jouait
dit  --- pouvait
s  --- empêcher
faire  --- accords
nous  --- enchantaient
voici  --- extrait
consacrerons  --- partie
l  --- vu
ont  --- de
rappelons  --- qu
estimait  --- qu
intitulé  --- émission
voici  --- invités
envisageant  --- morts
rappelle  --- que
présidez  --- commission
maintenez  --- prévisions
l  --- explicité
que  --- constate
su  --- arrêter
arrêter  --- épidémies
a  --- beaucoup
a  --- expérience
arrêter  --- vague
atténuer  --- vague
que  --- imaginer
précisiez  --- choses
que  --- faites
tenant  --- compte
qu  --- faire
qu  --- faire
vous  --- compris
veut  --- prédire
prédire  --- cyclone
se  --- rapporte
regarde  --- cyclone
que  --- voit
dire  --- qu
que  --- voit
fait  --- prédiction
imagine  --- scénarios
a  --- scénarios
a  --- plus
avez  --- raison
a  --- plus
a  --- chance
ait  --- plus
concernant  --- &
eu  --- millions
avait  --- baignoires
avait  --- &
avait  --- raccord
aviez  --- antibiotiques
savait  --- ce
a  --- &
a  --- vaccins
pense  --- que
entraînerait  --- mortalité
qu  --- voir
a  --- &
a  --- limite
dites  --- voilà
fixé  --- cadre
savez  --- a
géré  --- crise
dire  --- est
dit  --- est
dit  --- ai
mis  --- Tamiflu
exclure  --- que
ait  --- chose
eu  --- gradations
dit  --- faut
faut  --- méfier
passer  --- été
qu  --- est
qu  --- passer
s  --- applique
qu  --- connaît
qu  --- connaît
fait  --- tour
sait  --- comment
qu  --- faut
qu  --- mettre
faut  --- mettre
que  --- voit
entraîner  --- nombre
avoir  --- regards
aura  --- chance
comprendre  --- discours
se  --- voir
découvre  --- reportage
le  --- sait
le  --- sait
le  --- sait
le  --- sait
voyez  --- ce
que  --- dire
rire  --- &
dire  --- &
sait  --- qu
disant  --- est
qu  --- passer
reçois  --- bulletin
appelle  --- pompes
que  --- dire
sait  --- que
l  --- espérer
s  --- ren~
a  --- chaînes
sait  --- faire
faire  --- besogne
que  --- crois
sait  --- qu
eu  --- épidémies
rappelle  --- que
compte  --- six
concerne  --- niveaux
évoqué  --- possibilité
touchant  --- tiers
que  --- entendre
manifeste  --- autorité
l  --- remarqué
écoutant  --- évangile
dit  --- rien
lever  --- belle
la  --- quitte
guérit  --- sortes
se  --- toucher
imposant  --- mains
chasse  --- beaucoup
fait  --- mal
montre  --- Jésus
remet  --- humanité
fait  --- une
le  --- répète
restaurer  --- dignité
rétablir  --- personne
rétablir  --- les
pose  --- gestes
inaugure  --- venue
rétablir  --- humanité
s  --- inscrit
trouve  --- traduction
accorde  --- pouvoir
chasser  --- esprits
le  --- faisait
le  --- faisaient
guérit  --- malades
qu  --- communique
qu  --- rencontre
qu  --- engage
le  --- veux
sois  --- entend
le  --- dis
lève  --- -
l  --- ordonne
chasse  --- démons
donnant  --- vie
donnant  --- vie
a  --- mal
que  --- fait
faisant  --- mal
que  --- entendu
vraiment  --- dit
fait  --- journées
comme  --- dit
désire  --- ombre
attend  --- paye
rien  --- gagné
compte  --- nuits
l  --- avouer
faut  --- avouer
s  --- éloignent
qu  --- communique
interroge  --- responsabilité
donne  --- vie
faut  --- que
m  --- appelle
ai  --- ans
eu  --- obtention
a  --- rien
aime  --- biologie
choisi  --- italien
avait  --- entretien
le  --- savais
pris  --- italien
ai  --- facilités
parle  --- italien
le  --- comprends
aime  --- italien
apprécie  --- ce
que  --- fais
pense  --- que
me  --- réorienter
finir  --- année
pense  --- que
que  --- faire
veux  --- faire
passe  --- année
pense  --- que
finir  --- licence
finirai  --- licence
avoir  --- licence
la  --- passe
appris  --- beaucoup
pense  --- que
me  --- réorienterai
m  --- intéresse
dit  --- que
dit  --- que
pense  --- que
me  --- réorienter
dessinent  --- route
occupez  --- poste
que  --- envient
dirais  --- que
donné  --- quelque
a  --- hommes
voudrais  --- reprendre
reprendre  --- mot
que  --- dit
dit  --- que
disons  --- carrière
semble  --- que
crois  --- que
me  --- conduit
qu  --- attend
le  --- regrettez
voudrais  --- reprendre
reprendre  --- phrases
direz  --- si
écrivait  --- est
l  --- oublie
regardé  --- yeux
enregistrent  --- détail
ai  --- impression
dessiné  --- route
demandé  --- si
suppose  --- que
connaissez  --- Marcel
dire  --- quoi
vois  --- aurais
fait  --- exception
crois  --- que
sais  --- regarder
crois  --- que
eu  --- faculté
comprendre  --- marche
l  --- eu
savoir  --- marchait
précise  --- que
écrit  --- texte
avait  --- ans
voir  --- que
voyaient  --- choses
ai  --- impression
m  --- étonne
eu  --- desc~
passé  --- chose
eu  --- destin
disons  --- que
eu  --- destin
disons  --- que
m  --- conduit
gagner  --- vie
s  --- produites
avais  --- ans
épouser  --- monsieur
avais  --- ans
a  --- circonstances
fait  --- journalisme
avais  --- raison
faire  --- métier
gagnais  --- beaucoup
avais  --- nom
eu  --- guerre
avait  --- journaliste
faire  --- journal
proposé  --- d
faudrait  --- revenir
eu  --- père
disons  --- qu
a  --- problèmes
disons  --- mots
fallu  --- travailler
savez  --- ce
sais  --- ce
sais  --- ce
que  --- oubliée
dire  --- sortirai
prévu  --- cela
pris  --- cours
pris  --- cours
fallu  --- que
gagne  --- vie
dirais  --- que
accepter  --- de
prendre  --- emploi
qu  --- faut
dit  --- est
avoir  --- métier
a  --- importance
faut  --- que
sache  --- faire
faire  --- chose
rien  --- faire
sais  --- faire
sais  --- ce
qu  --- apprend
dit  --- vais
apprendre  --- sténodactylo
qu  --- arrive
aurai  --- métier
apprendre  --- sténodactylo
gagner  --- vie
eu  --- librairie
crois  --- que
vous  --- trouvée
connaissais  --- Allégret
savait  --- âge
que  --- avais
laissé  --- librairie
avais  --- air
avoir  --- ans
doutait  --- que
avais  --- quinze
connaissais  --- Marc
le  --- connaissait
dit  --- mais
que  --- fais
dit  --- vends
vends  --- livres
dit  --- est
que  --- gagnes
dit  --- gagne
gagne  --- francs
dit  --- mais
perds  --- temps
dit  --- oui
paie  --- loyer
dit  --- est
faut  --- que
faire  --- ça
crois  --- que
savait  --- que
fait  --- métier
raté  --- carrière
crois  --- que
raté  --- carrière
crois  --- que
mettons  --- que
eu  --- succès
crois  --- que
crois  --- que
avais  --- aucune
font  --- comédienne
a  --- enchaînements
dire  --- que
avait  --- Jacques
eu  --- beaucoup
que  --- dites
m  --- excuse
les  --- répéter
les  --- connaissez
avait  --- beaucoup
voyez  --- ce
que  --- dire
avions  --- ça
avions  --- passion
prenez  --- direction
prenez  --- ligne
a  --- ligne
que  --- passée
unit  --- président
ont  --- mission
rend  --- hommage
salue  --- courage
salue  --- loyauté
salue  --- dévouement
salue  --- esprit
servir  --- défense
honorerai  --- certains
remercie  --- ministres
adresse  --- salut
oublie  --- impératif
assumer  --- responsabilités
a  --- intention
tenir  --- rang
les  --- faire
faut  --- faire
quittant  --- terrain
gagner  --- celui
souhaite  --- que
assurer  --- sécurité
faut  --- outil
le  --- savez
affirme  --- influence
qu  --- engager
connais  --- somme
que  --- requiert
sais  --- ce
que  --- signifie
que  --- saluer
veux  --- saluer
imagine  --- qu
sais  --- tribut
a  --- comportement
dit  --- que
a  --- région
dit  --- que
demande  --- beaucoup
dit  --- que
donné  --- foi
le  --- ressentons
a  --- traditions
se  --- transmettent
a  --- tradition
sentons  --- que
a  --- peur
sentent  --- attachement
sent  --- que
accorde  --- fidélité
faut  --- avoir
fait  --- preuves
sait  --- observer
ont  --- lien
avons  --- région
a  --- culture
trouve  --- profondeur
aime  --- vie
dire  --- que
ont  --- caractéristique
faudrait  --- chercher
a  --- différence
les  --- toucher
les  --- attacher
a  --- couches
aborde  --- point
côtoyer  --- monde
a  --- moins
que  --- avoir
connaît  --- monde
le  --- voir
le  --- voir
ont  --- formation
font  --- partie
a  --- trait
abordez  --- aspect
connaissez  --- problèmes
ai  --- intention
exposer  --- sont
qu  --- avoir
connaissons  --- a
